time,job,job_counting,city
2020-06,AI,2,Đà Nẵng
2020-07,AI,1,Đà Nẵng
2020-08,AI,13,Đà Nẵng
2020-09,AI,2,Đà Nẵng
2020-10,AI,4,Đà Nẵng
2020-11,AI,4,Đà Nẵng
2020-12,AI,10,Đà Nẵng
2021-01,AI,4,Đà Nẵng
2021-03,AI,13,Đà Nẵng
2021-04,AI,13,Đà Nẵng
2021-05,AI,6,Đà Nẵng
2021-06,AI,2,Đà Nẵng
2021-07,AI,14,Đà Nẵng
2021-08,AI,11,Đà Nẵng
2021-09,AI,4,Đà Nẵng
2021-10,AI,6,Đà Nẵng
2021-11,AI,2,Đà Nẵng
2021-12,AI,6,Đà Nẵng
2022-01,AI,2,Đà Nẵng
2022-02,AI,8,Đà Nẵng
2022-03,AI,14,Đà Nẵng
2022-04,AI,9,Đà Nẵng
2022-05,AI,4,Đà Nẵng
2022-06,AI,4,Đà Nẵng
2022-07,AI,4,Đà Nẵng
2022-08,AI,19,Đà Nẵng
2022-09,AI,6,Đà Nẵng
2022-10,AI,4,Đà Nẵng
2022-11,AI,4,Đà Nẵng
2022-12,AI,6,Đà Nẵng
2015-01,ANDROID,23,Hà Nội
2015-02,ANDROID,3,Hà Nội
2015-03,ANDROID,28,Hà Nội
2015-04,ANDROID,42,Hà Nội
2015-05,ANDROID,47,Hà Nội
2015-06,ANDROID,7,Hà Nội
2015-07,ANDROID,43,Hà Nội
2015-08,ANDROID,24,Hà Nội
2015-09,ANDROID,27,Hà Nội
2015-10,ANDROID,12,Hà Nội
2015-11,ANDROID,27,Hà Nội
2015-12,ANDROID,12,Hà Nội
2016-01,ANDROID,33,Hà Nội
2016-02,ANDROID,21,Hà Nội
2016-03,ANDROID,25,Hà Nội
2016-04,ANDROID,14,Hà Nội
2016-05,ANDROID,12,Hà Nội
2016-06,ANDROID,65,Hà Nội
2016-07,ANDROID,18,Hà Nội
2016-08,ANDROID,25,Hà Nội
2016-09,ANDROID,21,Hà Nội
2016-10,ANDROID,37,Hà Nội
2016-11,ANDROID,9,Hà Nội
2016-12,ANDROID,27,Hà Nội
2017-01,ANDROID,20,Hà Nội
2017-02,ANDROID,25,Hà Nội
2017-03,ANDROID,43,Hà Nội
2017-04,ANDROID,36,Hà Nội
2017-05,ANDROID,30,Hà Nội
2017-06,ANDROID,40,Hà Nội
2017-07,ANDROID,39,Hà Nội
2017-08,ANDROID,23,Hà Nội
2017-09,ANDROID,23,Hà Nội
2017-10,ANDROID,27,Hà Nội
2017-11,ANDROID,17,Hà Nội
2017-12,ANDROID,37,Hà Nội
2018-01,ANDROID,24,Hà Nội
2018-02,ANDROID,18,Hà Nội
2018-03,ANDROID,27,Hà Nội
2018-04,ANDROID,23,Hà Nội
2018-05,ANDROID,97,Hà Nội
2018-06,ANDROID,75,Hà Nội
2018-07,ANDROID,43,Hà Nội
2018-08,ANDROID,41,Hà Nội
2018-09,ANDROID,57,Hà Nội
2018-10,ANDROID,73,Hà Nội
2018-11,ANDROID,65,Hà Nội
2018-12,ANDROID,48,Hà Nội
2019-01,ANDROID,38,Hà Nội
2019-02,ANDROID,56,Hà Nội
2019-03,ANDROID,50,Hà Nội
2019-04,ANDROID,55,Hà Nội
2019-05,ANDROID,31,Hà Nội
2019-06,ANDROID,76,Hà Nội
2019-07,ANDROID,41,Hà Nội
2019-08,ANDROID,97,Hà Nội
2019-09,ANDROID,64,Hà Nội
2019-10,ANDROID,53,Hà Nội
2019-11,ANDROID,67,Hà Nội
2019-12,ANDROID,46,Hà Nội
2020-01,ANDROID,7,Hà Nội
2020-02,ANDROID,21,Hà Nội
2020-03,ANDROID,38,Hà Nội
2020-04,ANDROID,29,Hà Nội
2020-05,ANDROID,38,Hà Nội
2020-06,ANDROID,11,Hà Nội
2020-07,ANDROID,13,Hà Nội
2020-08,ANDROID,35,Hà Nội
2020-09,ANDROID,12,Hà Nội
2020-10,ANDROID,31,Hà Nội
2020-11,ANDROID,42,Hà Nội
2020-12,ANDROID,19,Hà Nội
2021-01,ANDROID,86,Hà Nội
2021-02,ANDROID,50,Hà Nội
2021-03,ANDROID,61,Hà Nội
2021-04,ANDROID,64,Hà Nội
2021-05,ANDROID,36,Hà Nội
2021-06,ANDROID,67,Hà Nội
2021-07,ANDROID,83,Hà Nội
2021-08,ANDROID,53,Hà Nội
2021-09,ANDROID,40,Hà Nội
2021-10,ANDROID,46,Hà Nội
2021-11,ANDROID,37,Hà Nội
2021-12,ANDROID,48,Hà Nội
2022-01,ANDROID,23,Hà Nội
2022-02,ANDROID,38,Hà Nội
2022-03,ANDROID,47,Hà Nội
2022-04,ANDROID,61,Hà Nội
2022-05,ANDROID,58,Hà Nội
2022-06,ANDROID,19,Hà Nội
2022-07,ANDROID,30,Hà Nội
2022-08,ANDROID,26,Hà Nội
2022-09,ANDROID,10,Hà Nội
2022-10,ANDROID,18,Hà Nội
2022-11,ANDROID,24,Hà Nội
2022-12,ANDROID,12,Hà Nội
2023-01,ANDROID,35,Hà Nội
2023-02,ANDROID,25,Hà Nội
2023-03,ANDROID,26,Hà Nội
2023-04,ANDROID,20,Hà Nội
2023-05,ANDROID,19,Hà Nội
2023-06,ANDROID,19,Hà Nội
2023-07,ANDROID,22,Hà Nội
2023-08,ANDROID,21,Hà Nội
2023-09,ANDROID,23,Hà Nội
2023-10,ANDROID,28,Hà Nội
2023-11,ANDROID,30,Hà Nội
2023-12,ANDROID,20,Hà Nội
2024-01,ANDROID,26,Hà Nội
2024-02,ANDROID,35,Hà Nội
2024-03,ANDROID,23,Hà Nội
2024-04,ANDROID,29,Hà Nội
2024-05,ANDROID,25,Hà Nội
2015-01,ANDROID,20,Hồ Chí Minh
2015-02,ANDROID,3,Hồ Chí Minh
2015-03,ANDROID,23,Hồ Chí Minh
2015-04,ANDROID,52,Hồ Chí Minh
2015-05,ANDROID,41,Hồ Chí Minh
2015-06,ANDROID,6,Hồ Chí Minh
2015-07,ANDROID,49,Hồ Chí Minh
2015-08,ANDROID,22,Hồ Chí Minh
2015-09,ANDROID,24,Hồ Chí Minh
2015-10,ANDROID,10,Hồ Chí Minh
2015-11,ANDROID,27,Hồ Chí Minh
2015-12,ANDROID,17,Hồ Chí Minh
2016-01,ANDROID,24,Hồ Chí Minh
2016-02,ANDROID,18,Hồ Chí Minh
2016-03,ANDROID,21,Hồ Chí Minh
2016-04,ANDROID,15,Hồ Chí Minh
2016-05,ANDROID,11,Hồ Chí Minh
2016-06,ANDROID,77,Hồ Chí Minh
2016-07,ANDROID,15,Hồ Chí Minh
2016-08,ANDROID,27,Hồ Chí Minh
2016-09,ANDROID,19,Hồ Chí Minh
2016-10,ANDROID,32,Hồ Chí Minh
2016-11,ANDROID,11,Hồ Chí Minh
2016-12,ANDROID,21,Hồ Chí Minh
2017-01,ANDROID,21,Hồ Chí Minh
2017-02,ANDROID,33,Hồ Chí Minh
2017-03,ANDROID,53,Hồ Chí Minh
2017-04,ANDROID,34,Hồ Chí Minh
2017-05,ANDROID,36,Hồ Chí Minh
2017-06,ANDROID,51,Hồ Chí Minh
2017-07,ANDROID,38,Hồ Chí Minh
2017-08,ANDROID,27,Hồ Chí Minh
2017-09,ANDROID,20,Hồ Chí Minh
2017-10,ANDROID,35,Hồ Chí Minh
2017-11,ANDROID,18,Hồ Chí Minh
2017-12,ANDROID,37,Hồ Chí Minh
2018-01,ANDROID,26,Hồ Chí Minh
2018-02,ANDROID,19,Hồ Chí Minh
2018-03,ANDROID,35,Hồ Chí Minh
2018-04,ANDROID,18,Hồ Chí Minh
2018-05,ANDROID,87,Hồ Chí Minh
2018-06,ANDROID,74,Hồ Chí Minh
2018-07,ANDROID,55,Hồ Chí Minh
2018-08,ANDROID,36,Hồ Chí Minh
2018-09,ANDROID,57,Hồ Chí Minh
2018-10,ANDROID,72,Hồ Chí Minh
2018-11,ANDROID,53,Hồ Chí Minh
2018-12,ANDROID,64,Hồ Chí Minh
2019-01,ANDROID,32,Hồ Chí Minh
2019-02,ANDROID,60,Hồ Chí Minh
